Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
103,Florian Dietz,de GER,FW,Köln,24,1998,0.8,0,3,1,33.3,3.86,1.29,0.0,0.0,0,0,bundesliga,2023-2024
104,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,22,2000,21.7,5,52,17,32.7,2.39,0.78,0.1,0.29,0,0,bundesliga,2023-2024
105,Eren Dinkçi,de GER,MF,Heidenheim,21,2001,29.4,10,49,21,42.9,1.66,0.71,0.2,0.48,0,0,bundesliga,2023-2024
106,Ritsu Doan,jp JPN,MF,Freiburg,25,1998,25.0,7,37,19,51.4,1.48,0.76,0.19,0.37,0,0,bundesliga,2023-2024
107,Danilho Doekhi,nl NED,DF,Union Berlin,25,1998,24.0,2,16,2,12.5,0.67,0.08,0.13,1.0,0,0,bundesliga,2023-2024
108,Niklas Dorsch,de GER,MF,Augsburg,25,1998,15.4,0,14,0,0.0,0.91,0.0,0.0,,0,0,bundesliga,2023-2024
109,Nikola Dovedan,at AUT,MF,Heidenheim,29,1994,7.3,3,14,5,35.7,1.92,0.69,0.21,0.6,0,0,bundesliga,2023-2024
110,Damion Downs,us USA,FW,Köln,19,2004,2.0,2,5,2,40.0,2.49,0.99,0.4,1.0,0,0,bundesliga,2023-2024
111,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,21,2002,6.5,2,19,9,47.4,2.94,1.39,0.11,0.22,0,0,bundesliga,2023-2024
112,Tim Drexler,de GER,DF,Hoffenheim,18,2005,6.4,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
113,Marvin Ducksch,de GER,FW,Werder Bremen,29,1994,30.0,12,80,38,47.5,2.67,1.27,0.09,0.18,5,6,bundesliga,2023-2024
114,Julien Duranville,be BEL,FW,Dortmund,17,2006,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
115,Maximilian Eggestein,de GER,MF,Freiburg,26,1996,32.4,1,39,8,20.5,1.2,0.25,0.03,0.13,0,0,bundesliga,2023-2024
116,Lilian Egloff,de GER,MF,Stuttgart,20,2002,1.2,0,3,0,0.0,2.55,0.0,0.0,,0,0,bundesliga,2023-2024
117,Hugo Ekitike,fr FRA,FW,Eintracht Frankfurt,21,2002,8.0,4,30,10,33.3,3.77,1.26,0.13,0.4,0,0,bundesliga,2023-2024
118,Elif Elmas,mk MKD,MF,RB Leipzig,23,1999,3.0,0,10,4,40.0,3.38,1.35,0.0,0.0,0,0,bundesliga,2023-2024
119,Nico Elvedi,ch SUI,DF,Gladbach,26,1996,27.6,2,18,7,38.9,0.65,0.25,0.11,0.29,0,0,bundesliga,2023-2024
120,Arne Engels,be BEL,"MF,DF",Augsburg,19,2003,15.6,3,20,7,35.0,1.28,0.45,0.15,0.43,0,0,bundesliga,2023-2024
121,Ohis Felix Uduokhai,de GER,DF,Augsburg,25,1997,32.5,2,13,3,23.1,0.4,0.09,0.15,0.67,0,0,bundesliga,2023-2024
122,Edimilson Fernandes,ch SUI,DF,Mainz 05,27,1996,14.3,0,15,0,0.0,1.05,0.0,0.0,,0,0,bundesliga,2023-2024
123,Nacho Ferri,es ESP,FW,Eintracht Frankfurt,18,2004,0.8,1,5,2,40.0,6.08,2.43,0.2,0.5,0,0,bundesliga,2023-2024
124,Max Finkgräfe,de GER,DF,Köln,19,2004,19.5,1,12,4,33.3,0.62,0.21,0.08,0.25,0,0,bundesliga,2023-2024
125,Kilian Fischer,de GER,"MF,DF",Wolfsburg,22,2000,3.2,0,4,0,0.0,1.24,0.0,0.0,,0,0,bundesliga,2023-2024
126,Jonas Föhrenbach,de GER,DF,Heidenheim,27,1996,31.0,0,12,0,0.0,0.39,0.0,0.0,,0,0,bundesliga,2023-2024
127,Emil Forsberg,se SWE,MF,RB Leipzig,31,1991,5.2,2,12,5,41.7,2.33,0.97,0.17,0.4,0,1,bundesliga,2023-2024
128,Philipp Förster,de GER,MF,Bochum,28,1995,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,0,0,bundesliga,2023-2024
129,Bartol Franjić,hr CRO,MF,Darmstadt 98,23,2000,13.7,0,4,0,0.0,0.29,0.0,0.0,,0,0,bundesliga,2023-2024
130,Marco Friedl,at AUT,DF,Werder Bremen,25,1998,24.4,1,7,1,14.3,0.29,0.04,0.14,1.0,0,0,bundesliga,2023-2024
131,Marvin Friedrich,de GER,DF,Gladbach,27,1995,17.4,0,12,2,16.7,0.69,0.11,0.0,0.0,0,0,bundesliga,2023-2024
132,Jeremie Frimpong,nl NED,MF,Leverkusen,22,2000,25.0,9,55,21,38.2,2.2,0.84,0.16,0.43,0,0,bundesliga,2023-2024
133,Chris Führich,de GER,MF,Stuttgart,25,1998,28.5,8,54,25,46.3,1.89,0.88,0.15,0.32,0,1,bundesliga,2023-2024
134,Shiō Fukuda,jp JPN,FW,Gladbach,19,2004,0.4,0,2,0,0.0,5.0,0.0,0.0,,0,0,bundesliga,2023-2024
135,Niclas Füllkrug,de GER,FW,Werder Bremen,30,1993,2.0,0,5,2,40.0,2.5,1.0,0.0,0.0,0,0,bundesliga,2023-2024
136,Niclas Füllkrug,de GER,FW,Dortmund,30,1993,24.6,12,53,27,50.9,2.16,1.1,0.17,0.33,3,3,bundesliga,2023-2024
137,Cristian Gamboa,cr CRC,"DF,MF",Bochum,33,1989,13.2,0,6,1,16.7,0.45,0.08,0.0,0.0,0,0,bundesliga,2023-2024
138,Dennis Geiger,de GER,MF,Hoffenheim,25,1998,0.7,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
139,Yannick Gerhardt,de GER,MF,Wolfsburg,29,1994,18.1,2,19,9,47.4,1.05,0.5,0.11,0.22,0,0,bundesliga,2023-2024
140,Anwar El Ghazi,nl NED,"FW,MF",Mainz 05,28,1995,0.6,0,1,0,0.0,1.67,0.0,0.0,,0,0,bundesliga,2023-2024
141,Benedikt Gimber,de GER,DF,Heidenheim,26,1997,22.5,1,18,3,16.7,0.8,0.13,0.06,0.33,0,0,bundesliga,2023-2024
142,Matthias Ginter,de GER,DF,Freiburg,29,1994,21.3,0,7,4,57.1,0.33,0.19,0.0,0.0,0,0,bundesliga,2023-2024
143,Jamie Gittens,eng ENG,"MF,FW",Dortmund,18,2004,11.8,1,43,11,25.6,3.66,0.94,0.02,0.09,0,0,bundesliga,2023-2024
144,Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,33,1989,15.1,0,9,1,11.1,0.59,0.07,0.0,0.0,0,0,bundesliga,2023-2024
145,Serge Gnabry,de GER,MF,Bayern Munich,28,1995,4.8,3,17,6,35.3,3.54,1.25,0.18,0.5,0,0,bundesliga,2023-2024
146,Leon Goretzka,de GER,MF,Bayern Munich,28,1995,24.9,6,56,15,26.8,2.25,0.6,0.11,0.4,0,0,bundesliga,2023-2024
147,Robin Gosens,de GER,"MF,DF",Union Berlin,29,1994,25.4,6,32,10,31.3,1.26,0.39,0.19,0.6,0,0,bundesliga,2023-2024
148,Mario Götze,de GER,MF,Eintracht Frankfurt,31,1992,23.0,3,13,7,53.8,0.57,0.3,0.23,0.43,0,0,bundesliga,2023-2024
149,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32,1991,28.8,1,23,3,13.0,0.8,0.1,0.04,0.33,0,0,bundesliga,2023-2024
150,Jens Grahl,de GER,GK,Eintracht Frankfurt,34,1988,2.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
151,Ryan Gravenberch,nl NED,MF,Bayern Munich,21,2002,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
152,Michael Gregoritsch,at AUT,FW,Freiburg,29,1994,18.7,7,72,31,43.1,3.85,1.66,0.1,0.23,0,0,bundesliga,2023-2024
153,Vincenzo Grifo,it ITA,MF,Freiburg,30,1993,25.8,8,49,19,38.8,1.9,0.74,0.04,0.11,6,6,bundesliga,2023-2024
154,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,27,1995,25.5,1,21,6,28.6,0.82,0.24,0.05,0.17,0,0,bundesliga,2023-2024
155,Álex Grimaldo,es ESP,MF,Leverkusen,27,1995,30.9,10,71,23,32.4,2.3,0.74,0.14,0.43,0,0,bundesliga,2023-2024
156,Christian Groß,de GER,"DF,MF",Werder Bremen,34,1989,8.9,0,4,1,25.0,0.45,0.11,0.0,0.0,0,0,bundesliga,2023-2024
157,Brajan Gruda,de GER,"MF,FW",Mainz 05,19,2004,18.2,4,30,12,40.0,1.65,0.66,0.13,0.33,0,0,bundesliga,2023-2024
158,Ilia Gruev,bg BUL,MF,Werder Bremen,23,2000,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
159,Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,29,1993,13.2,3,18,6,33.3,1.36,0.45,0.17,0.5,0,0,bundesliga,2023-2024
160,Josuha Guilavogui,fr FRA,DF,Mainz 05,32,1990,4.5,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
161,Serhou Guirassy,gn GUI,FW,Stuttgart,27,1996,24.5,28,91,45,49.5,3.71,1.83,0.26,0.53,4,4,bundesliga,2023-2024
162,Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,13.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
163,Manuel Gulde,de GER,DF,Freiburg,32,1991,22.7,1,12,1,8.3,0.53,0.04,0.08,1.0,0,0,bundesliga,2023-2024
164,Robert Gumny,pl POL,"DF,MF",Augsburg,25,1998,5.3,0,3,1,33.3,0.56,0.19,0.0,0.0,0,0,bundesliga,2023-2024
165,Christian Günter,de GER,"MF,DF",Freiburg,30,1993,11.8,1,6,2,33.3,0.51,0.17,0.17,0.5,0,0,bundesliga,2023-2024
166,Janik Haberer,de GER,MF,Union Berlin,29,1994,13.6,1,15,4,26.7,1.11,0.29,0.07,0.25,0,0,bundesliga,2023-2024
167,Robin Hack,de GER,"FW,MF",Gladbach,24,1998,15.0,10,43,22,51.2,2.87,1.47,0.23,0.45,0,0,bundesliga,2023-2024
168,Amadou Haidara,ml MLI,MF,RB Leipzig,25,1998,17.0,2,21,9,42.9,1.24,0.53,0.1,0.22,0,0,bundesliga,2023-2024
169,Sébastien Haller,ci CIV,FW,Dortmund,29,1994,4.4,0,7,2,28.6,1.59,0.45,0.0,0.0,0,0,bundesliga,2023-2024
170,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,26,1997,11.0,1,4,1,25.0,0.36,0.09,0.25,1.0,0,0,bundesliga,2023-2024
171,Isak Hansen-Aarøen,no NOR,MF,Werder Bremen,18,2004,0.3,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
172,Genki Haraguchi,jp JPN,"FW,MF",Stuttgart,32,1991,0.3,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
173,Makoto Hasebe,jp JPN,"MF,DF",Eintracht Frankfurt,39,1984,2.4,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
174,Thorgan Hazard,be BEL,"FW,MF",Dortmund,30,1993,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
175,Dominique Heintz,de GER,DF,Köln,29,1993,6.3,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
