Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
119,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,1,0,0,3,6,0,14,10,8,,,0,la_liga,2024-2025
120,William Carvalho,pt POR,MF,Real Betis,32,1992,5.4,1,0,0,7,3,0,2,3,7,,,0,la_liga,2024-2025
121,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,4,1,1,26,36,0,9,24,24,,,0,la_liga,2024-2025
122,Catena,es ESP,DF,Osasuna,29,1994,34.2,11,0,0,36,14,1,2,31,28,,,0,la_liga,2024-2025
123,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1.0,0,0,0,3,0,0,0,1,1,,,0,la_liga,2024-2025
124,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,4,0,0,13,30,0,14,16,21,,,0,la_liga,2024-2025
125,Franco Cervi,ar ARG,"MF,FW",Celta Vigo,30,1994,3.0,1,0,0,4,1,0,6,8,3,,,0,la_liga,2024-2025
126,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,0,0,0,3,0,0,3,2,1,,,0,la_liga,2024-2025
127,Pep Chavarría,es ESP,DF,Rayo Vallecano,26,1998,28.7,3,0,0,30,25,3,80,30,36,,,0,la_liga,2024-2025
128,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,3,0,0,30,27,11,2,1,0,,,0,la_liga,2024-2025
129,Chema,es ESP,MF,Real Madrid,19,2005,0.1,0,0,0,1,0,0,0,0,0,,,0,la_liga,2024-2025
130,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,0,0,0,1,3,0,3,4,7,,,0,la_liga,2024-2025
131,Chiquinho,pt POR,MF,Mallorca,24,2000,1.6,2,0,0,6,7,0,9,1,0,,,0,la_liga,2024-2025
132,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,3,0,0,5,0,0,0,4,3,,,0,la_liga,2024-2025
133,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,1,0,0,0,5,0,0,0,0,,,0,la_liga,2024-2025
134,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,12,0,0,45,25,0,5,36,25,,,0,la_liga,2024-2025
135,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,3,1,0,39,25,2,10,14,36,,,0,la_liga,2024-2025
136,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,0,0,0,5,0,0,0,2,6,,,0,la_liga,2024-2025
137,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,6,0,0,18,16,0,0,22,16,,,0,la_liga,2024-2025
138,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,7,0,0,37,27,1,15,21,49,,,0,la_liga,2024-2025
139,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,2,0,0,0,1,0,0,1,2,,,0,la_liga,2024-2025
140,Tomás Conechny,ar ARG,"MF,FW",Alavés,26,1998,9.4,8,0,0,28,11,5,31,6,11,,,0,la_liga,2024-2025
141,Copete,es ESP,DF,Mallorca,24,1999,17.0,6,0,0,27,13,0,7,18,18,,,0,la_liga,2024-2025
142,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,0,0,0,0,0,0,1,0,0,,,0,la_liga,2024-2025
143,Ángel Correa,ar ARG,FW,Atlético Madrid,29,1995,8.9,3,1,0,18,11,4,24,5,3,,,0,la_liga,2024-2025
144,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,1,0,0,15,14,0,18,3,17,,,0,la_liga,2024-2025
145,Coba da Costa,es ESP,MF,Getafe,22,2002,11.2,4,0,0,10,10,0,41,10,13,,,0,la_liga,2024-2025
146,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,3,0,0,19,3,2,5,23,21,,,0,la_liga,2024-2025
147,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,10,1,1,62,63,2,21,32,42,,,0,la_liga,2024-2025
148,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30.0,1,0,0,0,2,0,0,1,0,,,1,la_liga,2024-2025
149,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,4,0,0,16,2,2,10,9,15,,,0,la_liga,2024-2025
150,Juan Cruz,es ESP,"MF,DF",Leganés,24,2000,25.1,2,0,0,14,23,7,91,13,16,,,0,la_liga,2024-2025
151,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,3,0,0,24,9,0,2,18,24,,,0,la_liga,2024-2025
152,Cucho,co COL,FW,Real Betis,25,1999,12.7,0,0,0,10,9,5,12,7,10,,,0,la_liga,2024-2025
153,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,1,0,0,1,1,3,0,0,1,,,0,la_liga,2024-2025
154,Arnaut Danjuma,nl NED,"MF,FW",Girona,27,1997,14.8,2,0,0,17,16,14,76,3,6,,,0,la_liga,2024-2025
155,Sergi Darder,es ESP,MF,Mallorca,30,1993,30.5,4,0,0,21,37,3,159,15,26,,,0,la_liga,2024-2025
156,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,7,0,0,19,49,0,57,6,24,,,0,la_liga,2024-2025
157,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,0,0,0,2,4,0,1,10,4,,,0,la_liga,2024-2025
158,Assane Diao,sn SEN,FW,Real Betis,18,2005,3.1,0,0,0,4,4,2,4,0,3,,,0,la_liga,2024-2025
159,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,6,0,0,28,24,1,20,17,23,,,0,la_liga,2024-2025
160,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,24,1999,15.4,0,0,0,14,34,1,8,5,18,,,0,la_liga,2024-2025
161,Daniel Díaz,es ESP,FW,Real Sociedad,18,2006,0.1,0,0,0,1,0,0,0,0,1,,,0,la_liga,2024-2025
162,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,2,0,0,7,6,0,41,7,15,,,0,la_liga,2024-2025
163,Diego,es ESP,"FW,MF",Leganés,24,2000,13.3,2,0,0,22,23,7,5,3,1,,,0,la_liga,2024-2025
164,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4.0,1,0,0,0,0,0,0,0,0,,,0,la_liga,2024-2025
165,Yan Diomandé,ci CIV,MF,Leganés,17,2006,6.1,1,0,0,8,16,2,12,8,9,,,0,la_liga,2024-2025
166,Álvaro djaló,gw GNB,"MF,FW",Athletic Club,24,1999,7.3,2,0,0,18,14,5,14,2,5,,,0,la_liga,2024-2025
167,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,10,1,0,40,26,1,32,21,13,,,0,la_liga,2024-2025
168,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32.0,0,0,0,1,6,0,0,0,1,,,0,la_liga,2024-2025
169,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,0,0,0,5,1,0,4,0,4,,,0,la_liga,2024-2025
170,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,1,0,0,8,10,0,0,12,12,,,1,la_liga,2024-2025
171,Israel Domínguez,es ESP,MF,Sevilla,21,2003,0.2,0,0,0,0,1,1,0,0,0,,,0,la_liga,2024-2025
172,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,1,0,0,2,0,0,0,4,1,,,0,la_liga,2024-2025
173,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,2,0,0,10,27,9,1,3,4,,,0,la_liga,2024-2025
174,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,4,2,1,24,13,0,0,17,15,,,0,la_liga,2024-2025
175,Duk,cv CPV,MF,Leganés,24,2000,2.0,1,0,0,5,13,0,8,1,4,,,0,la_liga,2024-2025
