Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
114,Víctor Chust,es ESP,DF,Cádiz,22,2000,10.7,3,0,0,11,4,1,0,11,7,,,0,la_liga,2022-2023
115,Pathé Ciss,sn SEN,MF,Rayo Vallecano,28,1994,14.2,4,0,0,38,13,1,3,22,30,,,1,la_liga,2022-2023
116,Carlos Clerc,es ESP,"DF,MF",Elche,30,1992,29.3,5,0,0,32,31,2,91,27,52,,,0,la_liga,2022-2023
117,Álex Collado,es ESP,MF,Elche,23,1999,8.0,1,0,0,9,10,1,18,2,15,,,0,la_liga,2022-2023
118,Diego Collado,es ESP,"FW,MF",Villarreal,21,2001,0.1,0,0,0,0,0,0,2,1,0,,,0,la_liga,2022-2023
119,Eray Cömert,ch SUI,DF,Valencia,24,1998,18.6,5,1,0,22,11,1,1,29,22,,,0,la_liga,2022-2023
120,Santi Comesaña,es ESP,MF,Rayo Vallecano,25,1996,27.2,6,0,0,49,28,4,17,33,45,,,0,la_liga,2022-2023
121,Copete,es ESP,DF,Mallorca,22,1999,24.5,7,1,0,47,24,2,8,42,29,,,0,la_liga,2022-2023
122,Francis Coquelin,fr FRA,MF,Villarreal,31,1991,8.3,2,0,0,11,7,0,5,9,12,,,0,la_liga,2022-2023
123,Jesús Corona,mx MEX,MF,Sevilla,29,1993,1.2,0,0,0,2,5,1,3,2,0,,,0,la_liga,2022-2023
124,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27,1995,16.2,3,1,0,19,20,14,23,9,7,,,0,la_liga,2022-2023
125,Thierry Correia,pt POR,DF,Valencia,23,1999,22.3,5,0,0,40,44,1,85,25,51,,,0,la_liga,2022-2023
126,Jaume Costa,es ESP,DF,Mallorca,34,1988,28.9,10,0,0,44,34,7,76,24,34,,,0,la_liga,2022-2023
127,Samu Costa,pt POR,MF,Almería,21,2000,22.1,5,0,0,51,45,4,8,35,34,,,0,la_liga,2022-2023
128,Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,31.0,0,0,0,0,3,0,0,3,0,,,0,la_liga,2022-2023
129,Yan Couto,br BRA,"MF,DF",Girona,20,2002,12.9,3,0,0,13,15,2,65,7,18,,,0,la_liga,2022-2023
130,Juan Cruz Armada,es ESP,DF,Osasuna,30,1992,22.9,7,0,0,17,9,1,35,14,16,,,0,la_liga,2022-2023
131,Juan Cruz,es ESP,MF,Real Betis,22,2000,2.0,1,0,0,4,2,1,6,0,0,,,0,la_liga,2022-2023
132,Jorge Cuenca,es ESP,DF,Villarreal,22,1999,5.6,1,0,0,4,1,0,1,6,6,,,0,la_liga,2022-2023
133,Braian Cufré,ar ARG,"MF,DF",Mallorca,25,1996,2.4,0,0,0,5,3,2,1,2,2,,,0,la_liga,2022-2023
134,Matheus Cunha,br BRA,"MF,FW",Atlético Madrid,23,1999,4.2,2,0,0,7,6,1,3,2,1,,,0,la_liga,2022-2023
135,Curro,es ESP,"FW,MF",Almería,26,1996,0.5,1,0,0,1,0,0,1,0,0,,,0,la_liga,2022-2023
136,Arnaut Danjuma,nl NED,FW,Villarreal,25,1997,5.3,0,0,0,2,7,3,6,0,3,,,0,la_liga,2022-2023
137,Sergi Darder,es ESP,MF,Espanyol,28,1993,36.9,4,0,0,31,78,2,183,25,36,,,0,la_liga,2022-2023
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28,1994,21.4,5,0,0,33,49,0,47,7,21,,,0,la_liga,2022-2023
139,Alberto Del Moral,es ESP,MF,Villarreal,22,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2022-2023
140,Thomas Delaney,dk DEN,MF,Sevilla,30,1991,3.4,3,0,0,4,5,1,4,3,2,,,0,la_liga,2022-2023
141,Fran Delgado,es ESP,DF,Real Betis,21,2001,0.1,0,0,0,0,0,0,1,0,0,,,0,la_liga,2022-2023
142,Ousmane Dembélé,fr FRA,FW,Barcelona,25,1997,15.7,4,0,0,16,19,5,105,0,12,,,0,la_liga,2022-2023
