Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
711,Óscar Valentín,es ESP,MF,Rayo Vallecano,29.0,1994.0,34,1835.0,54.0,53.7,20.4,18,79.0,9,16,26.0,2,1.46,24.0,23.0,1.0,0.05,0.33,la_liga,2024-2025
712,Germán Valera,es ESP,MF,Valencia,22.0,2002.0,8,148.0,19.0,4.3,1.6,1,59.0,0,7,13.0,8,1.0,0.0,4.0,-4.0,-2.43,-2.27,la_liga,2024-2025
713,Martin Valjent,sk SVK,DF,Mallorca,28.0,1995.0,31,2763.0,89.0,80.8,30.7,31,89.0,29,0,,6,1.32,30.0,38.0,-8.0,-0.26,-0.12,la_liga,2024-2025
714,Álex Valle,es ESP,DF,Barcelona,20.0,2004.0,0,,,,,0,,0,0,,2,,,,,,,la_liga,2024-2025
715,Jesús Vallejo,es ESP,DF,Real Madrid,27.0,1997.0,4,138.0,35.0,4.0,1.5,1,65.0,0,3,24.0,27,3.0,3.0,2.0,1.0,0.65,-0.42,la_liga,2024-2025
716,Federico Valverde,uy URU,"MF,DF",Real Madrid,26.0,1998.0,36,3032.0,84.0,88.7,33.7,34,88.0,28,2,21.0,1,2.25,69.0,31.0,38.0,1.13,0.66,la_liga,2024-2025
717,Siebe Van Der Heyden,be BEL,DF,Mallorca,26.0,1998.0,2,97.0,49.0,2.8,1.1,1,90.0,1,1,7.0,13,1.5,0.0,2.0,-2.0,-1.86,-1.67,la_liga,2024-2025
718,Iker Varela,es ESP,MF,Athletic Club,21.0,2003.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
719,Ruben Vargas,ch SUI,"MF,FW",Sevilla,25.0,1998.0,11,671.0,61.0,19.6,7.5,9,69.0,0,2,23.0,1,1.0,11.0,9.0,2.0,0.27,0.76,la_liga,2024-2025
720,José Luis García Vayá,es ESP,MF,Valencia,25.0,1998.0,34,1742.0,51.0,50.9,19.4,18,83.0,12,16,15.0,1,1.24,19.0,31.0,-12.0,-0.62,-0.73,la_liga,2024-2025
721,Jesus Vazquez,es ESP,DF,Valencia,21.0,2003.0,19,919.0,48.0,26.9,10.2,10,76.0,5,9,17.0,16,1.05,10.0,16.0,-6.0,-0.59,-0.44,la_liga,2024-2025
722,Lucas Vázquez,es ESP,DF,Real Madrid,33.0,1991.0,32,2189.0,68.0,64.0,24.3,25,84.0,14,7,11.0,3,2.13,52.0,33.0,19.0,0.78,-0.75,la_liga,2024-2025
723,Alejo Véliz,ar ARG,FW,Espanyol,20.0,2003.0,27,1127.0,42.0,33.0,12.5,10,71.0,2,17,25.0,11,0.89,18.0,22.0,-4.0,-0.32,-0.04,la_liga,2024-2025
724,Arthur Vermeeren,be BEL,MF,Atlético Madrid,19.0,2005.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
725,Mikel Vesga,es ESP,MF,Athletic Club,31.0,1993.0,25,988.0,40.0,28.9,11.0,10,73.0,4,15,17.0,10,1.88,19.0,8.0,11.0,1.0,0.48,la_liga,2024-2025
726,Carlos Vicente,es ESP,MF,Alavés,25.0,1999.0,37,3092.0,84.0,90.4,34.4,35,86.0,27,2,35.0,1,1.14,34.0,39.0,-5.0,-0.15,1.23,la_liga,2024-2025
727,Pau Victor,es ESP,FW,Barcelona,22.0,2001.0,21,319.0,15.0,9.3,3.5,2,60.0,0,19,11.0,17,2.1,14.0,7.0,7.0,1.97,0.35,la_liga,2024-2025
728,Marc Vidal,es ESP,GK,Celta Vigo,24.0,2000.0,0,,,,,0,,0,0,,7,,,,,,,la_liga,2024-2025
729,Nacho Vidal,es ESP,DF,Osasuna,29.0,1995.0,5,124.0,25.0,3.6,1.4,1,90.0,1,4,9.0,14,2.0,1.0,5.0,-4.0,-2.9,-2.9,la_liga,2024-2025
730,Fran Vieites,es ESP,GK,Real Betis,25.0,1999.0,4,360.0,90.0,10.5,4.0,4,90.0,4,0,,30,1.25,5.0,5.0,0.0,0.0,-0.21,la_liga,2024-2025
731,Sergio Viera,es ESP,MF,Las Palmas,19.0,2005.0,2,96.0,48.0,2.8,1.1,1,60.0,0,1,36.0,7,0.0,0.0,0.0,0.0,0.0,0.57,la_liga,2024-2025
732,Toni Villa,es ESP,MF,Girona,29.0,1995.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
733,Asier Villalibre,es ESP,FW,Alavés,26.0,1997.0,16,333.0,21.0,9.7,3.7,2,66.0,0,14,14.0,22,0.5,3.0,10.0,-7.0,-1.89,-1.8,la_liga,2024-2025
734,Iván Villar,es ESP,GK,Celta Vigo,27.0,1997.0,4,360.0,90.0,10.5,4.0,4,90.0,4,0,,34,1.5,10.0,9.0,1.0,0.25,0.22,la_liga,2024-2025
