Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
144,Mario Götze,de GER,MF,Eintracht Frankfurt,32,1992,17.1,1,0,0,15,15,1,39,7,28,,,0,bundesliga,2024-2025
145,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,33,1991,32.7,9,0,0,22,13,2,17,39,31,,,0,bundesliga,2024-2025
146,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,28.7,2,0,0,0,3,0,0,0,0,,,0,bundesliga,2024-2025
147,Michael Gregoritsch,at AUT,FW,Freiburg,30,1994,7.1,2,0,0,7,5,4,1,1,2,,,0,bundesliga,2024-2025
148,Vincenzo Grifo,it ITA,MF,Freiburg,31,1993,27.0,2,0,0,15,12,2,157,8,21,,,0,bundesliga,2024-2025
149,Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,28,1995,6.7,1,0,0,4,11,0,5,9,9,,,0,bundesliga,2024-2025
150,Álex Grimaldo,es ESP,MF,Leverkusen,28,1995,29.3,6,1,1,15,25,8,217,17,15,,,0,bundesliga,2024-2025
151,Pascal Groß,de GER,"MF,DF",Dortmund,33,1991,25.9,5,1,0,18,12,0,178,9,29,,,0,bundesliga,2024-2025
152,Marco Grüll,at AUT,"FW,MF",Werder Bremen,26,1998,13.1,1,0,0,22,31,6,21,5,10,,,0,bundesliga,2024-2025
153,Raphaël Guerreiro,pt POR,"DF,MF",Bayern Munich,30,1993,17.5,2,0,0,9,7,0,27,10,14,,,0,bundesliga,2024-2025
154,Morgan Guilavogui,gn GUI,"FW,MF",St Pauli,26,1998,20.1,6,0,0,47,34,11,10,13,19,,,0,bundesliga,2024-2025
155,Serhou Guirassy,gn GUI,FW,Dortmund,28,1996,28.9,4,0,0,16,53,12,1,5,6,,,0,bundesliga,2024-2025
156,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,29.2,0,0,0,0,1,0,0,0,1,,,0,bundesliga,2024-2025
157,Robert Gumny,pl POL,MF,Augsburg,26,1998,3.0,2,0,0,4,4,0,4,1,3,,,0,bundesliga,2024-2025
158,Christian Günter,de GER,DF,Freiburg,31,1993,25.7,0,0,0,14,4,5,123,7,22,,,1,bundesliga,2024-2025
159,Janik Haberer,de GER,MF,Union Berlin,30,1994,18.8,1,0,0,21,15,3,15,18,28,,,0,bundesliga,2024-2025
160,Robin Hack,de GER,MF,Gladbach,25,1998,24.1,4,0,0,19,21,9,61,9,19,,,0,bundesliga,2024-2025
161,Amadou Haidara,ml MLI,MF,RB Leipzig,26,1998,14.7,7,0,0,23,8,0,12,18,17,,,0,bundesliga,2024-2025
162,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27,1997,14.3,4,1,1,20,8,0,1,11,14,,,0,bundesliga,2024-2025
163,Phil Harres,de GER,FW,Holstein Kiel,22,2002,17.2,3,0,0,35,20,5,6,4,9,,,0,bundesliga,2024-2025
164,Ramon Hendriks,nl NED,DF,Stuttgart,23,2001,12.8,3,0,0,12,14,0,12,15,11,,,0,bundesliga,2024-2025
165,Paul Hennrich,de GER,MF,Hoffenheim,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2024-2025
166,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,27,1997,10.4,3,0,0,13,9,0,19,15,16,,,0,bundesliga,2024-2025
167,Mario Hermoso,es ESP,DF,Leverkusen,29,1995,3.3,0,0,0,2,1,0,4,9,0,,,0,bundesliga,2024-2025
168,Piero Hincapié,ec ECU,DF,Leverkusen,22,2002,29.7,8,0,0,26,43,0,36,32,40,,,1,bundesliga,2024-2025
