Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
71,Emre Can,de GER,"DF,MF",Dortmund,30,1994,31,23,2105,23.4,3,0,3,1,2,2,4,1,0.13,0.0,0.13,0.04,0.04,bundesliga,2024-2025
72,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,5,4,380,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
73,Abdoulie Ceesay,gm GAM,FW,St Pauli,20,2004,7,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
74,Julian Chabot,de GER,DF,Stuttgart,26,1998,31,27,2269,25.2,3,1,4,3,0,0,11,1,0.12,0.04,0.16,0.12,0.16,bundesliga,2024-2025
75,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19,2005,21,13,1130,12.6,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
76,Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,21,2002,26,10,1013,11.3,1,3,4,1,0,0,2,0,0.09,0.27,0.36,0.09,0.36,bundesliga,2024-2025
77,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,34,1990,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
78,Anrie Chase,jp JPN,DF,Stuttgart,20,2004,12,7,734,8.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
79,Arthur Chaves,br BRA,DF,Hoffenheim,23,2001,26,24,2185,24.3,1,0,1,1,0,0,8,0,0.04,0.0,0.04,0.04,0.04,bundesliga,2024-2025
80,Fabio Chiarodia,it ITA,DF,Gladbach,19,2005,16,3,379,4.2,1,0,1,1,0,0,0,0,0.24,0.0,0.24,0.24,0.24,bundesliga,2024-2025
81,Carney Chukwuemeka,eng ENG,MF,Dortmund,20,2003,10,1,253,2.8,1,0,1,1,0,0,1,0,0.36,0.0,0.36,0.36,0.36,bundesliga,2024-2025
82,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26,1998,28,25,2109,23.4,9,2,11,9,0,0,4,0,0.38,0.09,0.47,0.38,0.47,bundesliga,2024-2025
83,Nnamdi Collins,de GER,"DF,MF",Eintracht Frankfurt,20,2004,24,15,1489,16.5,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,bundesliga,2024-2025
84,Kingsley Coman,fr FRA,MF,Bayern Munich,28,1996,28,14,1282,14.2,5,4,9,5,0,0,0,0,0.35,0.28,0.63,0.35,0.63,bundesliga,2024-2025
85,Sirlord Conteh,de GER,"MF,FW",Heidenheim,28,1996,29,4,892,9.9,1,1,2,1,0,0,2,0,0.1,0.1,0.2,0.1,0.2,bundesliga,2024-2025
86,Danny da Costa,de GER,DF,Mainz 05,31,1993,25,25,2006,22.3,0,1,1,0,0,0,0,0,0.0,0.04,0.04,0.0,0.04,bundesliga,2024-2025
87,Yan Couto,br BRA,"DF,MF",Dortmund,22,2002,21,8,895,9.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
88,Tomáš Čvančara,cz CZE,"MF,FW",Gladbach,23,2000,28,7,831,9.2,2,0,2,2,0,0,5,1,0.22,0.0,0.22,0.22,0.22,bundesliga,2024-2025
89,Finn Dahmen,de GER,GK,Augsburg,26,1998,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
90,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
91,Mahmoud Dahoud,de GER,MF,Eintracht Frankfurt,28,1996,9,3,364,4.0,1,1,2,1,0,0,2,0,0.25,0.25,0.49,0.25,0.49,bundesliga,2024-2025
92,Ameen Al-Dakhil,be BEL,DF,Stuttgart,22,2002,7,6,432,4.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
93,Bence Dárdai,hu HUN,MF,Wolfsburg,18,2006,21,16,1304,14.5,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,bundesliga,2024-2025
94,Lukas Daschner,de GER,"FW,MF",Bochum,25,1998,14,3,412,4.6,1,1,2,1,0,1,0,0,0.22,0.22,0.44,0.22,0.44,bundesliga,2024-2025
95,Alphonso Davies,ca CAN,DF,Bayern Munich,23,2000,19,17,1560,17.3,1,2,3,1,0,0,0,0,0.06,0.12,0.17,0.06,0.17,bundesliga,2024-2025
96,Olivier Deman,be BEL,"DF,FW",Werder Bremen,24,2000,9,0,67,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
97,Ermedin Demirović,ba BIH,FW,Stuttgart,26,1998,34,20,1855,20.6,15,1,16,15,0,2,2,0,0.73,0.05,0.78,0.73,0.78,bundesliga,2024-2025
98,Justin Diehl,de GER,MF,Stuttgart,19,2004,6,0,104,1.2,1,0,1,1,0,0,0,0,0.87,0.0,0.87,0.87,0.87,bundesliga,2024-2025
99,Eric Dier,eng ENG,DF,Bayern Munich,30,1994,21,16,1463,16.3,2,1,3,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,bundesliga,2024-2025
100,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,23,2000,7,3,293,3.3,0,1,1,0,0,0,0,0,0.0,0.31,0.31,0.0,0.31,bundesliga,2024-2025
101,Eren Dinkçi,de GER,MF,Freiburg,22,2001,23,13,1196,13.3,0,3,3,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,bundesliga,2024-2025
