Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
179,Aitor Fernández,es ESP,GK,Osasuna,31,1991,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
180,Álex Fernández,es ESP,"MF,FW",Cádiz,29,1992,28,17,1576,17.5,3,0,3,2,1,1,0,0,0.17,0.0,0.17,0.11,0.11,la_liga,2022-2023
181,Álvaro Fernández,es ESP,GK,Espanyol,24,1998,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
182,Carlos Fernández,es ESP,FW,Real Sociedad,26,1996,24,8,631,7.0,1,0,1,1,0,0,6,0,0.14,0.0,0.14,0.14,0.14,la_liga,2022-2023
183,Federico Fernández,ar ARG,DF,Elche,33,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
184,Joaquín Fernández,es ESP,DF,Valladolid,26,1996,27,24,2156,24.0,1,0,1,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04,la_liga,2022-2023
185,Valery Fernández,es ESP,"MF,DF",Girona,22,1999,25,7,967,10.7,0,2,2,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,la_liga,2022-2023
186,Fernando,es ESP,GK,Almería,32,1990,37,37,3285,36.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
187,Fernando,br BRA,"MF,DF",Sevilla,35,1987,22,19,1577,17.5,0,1,1,0,0,0,3,1,0.0,0.06,0.06,0.0,0.06,la_liga,2022-2023
188,Fidel,es ESP,"MF,FW",Elche,32,1989,27,21,1714,19.0,3,2,5,2,1,1,5,0,0.16,0.11,0.26,0.11,0.21,la_liga,2022-2023
189,Dimitri Foulquier,fr FRA,DF,Valencia,29,1993,30,17,1738,19.3,0,2,2,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1,la_liga,2022-2023
190,Juan Foyth,ar ARG,DF,Villarreal,24,1998,24,22,1958,21.8,1,0,1,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05,la_liga,2022-2023
191,Iván Fresneda,es ESP,"DF,MF",Valladolid,17,2004,22,18,1743,19.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
192,Javi Galán,es ESP,DF,Celta Vigo,27,1994,37,36,3160,35.1,0,3,3,0,0,0,6,0,0.0,0.09,0.09,0.0,0.09,la_liga,2022-2023
193,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,28,1993,30,28,2449,27.2,0,1,1,0,0,0,12,0,0.0,0.04,0.04,0.0,0.04,la_liga,2022-2023
194,Aleix García,es ESP,MF,Girona,25,1997,30,26,2337,26.0,1,5,6,1,0,0,1,0,0.04,0.19,0.23,0.04,0.23,la_liga,2022-2023
195,Álvaro García,es ESP,MF,Rayo Vallecano,29,1992,35,34,2870,31.9,5,5,10,5,0,0,7,0,0.16,0.16,0.31,0.16,0.31,la_liga,2022-2023
196,Borja García,es ESP,"MF,FW",Girona,31,1990,11,10,679,7.5,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,la_liga,2022-2023
197,Carlos García,es ESP,DF,Cádiz,22,2000,1,0,25,0.3,0,1,1,0,0,0,0,0,0.0,3.6,3.6,0.0,3.6,la_liga,2022-2023
198,Dani García,es ESP,MF,Athletic Club,32,1990,25,18,1485,16.5,0,2,2,0,0,0,6,0,0.0,0.12,0.12,0.0,0.12,la_liga,2022-2023
199,David García,es ESP,DF,Osasuna,28,1994,32,31,2680,29.8,2,0,2,2,0,0,8,1,0.07,0.0,0.07,0.07,0.07,la_liga,2022-2023
200,Eric García,es ESP,"DF,MF",Barcelona,21,2001,24,15,1417,15.7,1,0,1,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06,la_liga,2022-2023
201,Fran Garcia,es ESP,DF,Rayo Vallecano,22,1999,38,38,3407,37.9,2,3,5,2,0,0,1,0,0.05,0.08,0.13,0.05,0.13,la_liga,2022-2023
202,Joan García,es ESP,GK,Espanyol,21,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
203,Raúl García,es ESP,"MF,FW",Athletic Club,36,1986,35,6,967,10.7,2,3,5,2,0,0,4,0,0.19,0.28,0.47,0.19,0.47,la_liga,2022-2023
204,Rubén García,es ESP,"MF,FW",Osasuna,29,1993,29,11,1159,12.9,2,2,4,2,0,0,2,0,0.16,0.16,0.31,0.16,0.31,la_liga,2022-2023
205,Unai García,es ESP,DF,Osasuna,30,1992,21,20,1713,19.0,0,1,1,0,0,0,6,1,0.0,0.05,0.05,0.0,0.05,la_liga,2022-2023
206,Felix Garreta,es ESP,DF,Real Betis,18,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
